gene_id	WT_0H_DBI_7	WT_0H_DBI_8	WT_0H_DBI_9	WT_24H_DBI_10	WT_24H_DBI_11	WT_24H_DBI_12	WT_48H_DBI_13	WT_48H_DBI_14	WT_48H_DBI_15	WT_0H_DNA2_22	WT_0H_DNA2_23	WT_0H_DNA2_24	WT_120H_DNA2_25	WT_120H_DNA2_26	WT_120H_DNA2_27	WT_0H_DNA1_28	WT_0H_DNA1_29	WT_0H_DNA1_30	WT_6H_DNA1_31	WT_6H_DNA1_32	WT_6H_DNA1_33	WT_24H_DNA1_34	WT_24H_DNA1_35	WT_24H_DNA1_36
ENSMUSG00000040990	3.58151414076899	3.39494545945441	2.77139309090308	4.33783865712061	4.33067750750155	4.63418342567276	5.09355142124218	4.67129396896482	5.29523593282067	3.28960700673861	3.47219583036122	3.48711742170784	6.45686857735617	6.94725985753704	6.43379894971019	3.60191329545496	3.77851121269547	3.52948038048177	3.90862528380871	4.07322471628779	4.01901415761863	5.18004850950941	5.09350914110511	4.6592783363935
ENSMUSG00000054720	2.10543295459097	2.18404314805252	0.953301032024728	4.66305927396346	5.14701356589502	5.13125409886184	5.89473017736147	4.6634733767594	5.81449166443673	-0.347670153754631	0.152070672027591	1.15922711801776	5.45172671308374	5.7983934180915	5.05886653659173	1.61850784860157	0.565232906319322	1.05053164697823	3.08003629605189	3.37880385459933	4.24344926121927	4.96027147167655	5.09527561622705	4.6274214949738
ENSMUSG00000050910	2.90775734516184	2.54215571891749	1.90241400646078	2.68580734817577	2.88263319111115	3.11637253757061	3.65191731430407	3.47950551187552	3.56261673296002	2.10591202771191	2.09055208845414	2.29737981532947	3.836017183271	4.08471589809882	3.89994202778822	2.4128565685012	2.7972142657908	2.1801181913839	5.9008563167274	5.1444257105784	6.02153977206714	3.25621809978558	2.96149024838481	3.78451144103802
ENSMUSG00000008398	3.78220822435161	3.09212520540848	3.81985395877043	5.23851027388747	5.43803844088743	5.65012550345161	6.19315916935635	5.32981040634682	5.60972088280839	2.10591202771191	2.90988968962675	2.03537776673046	5.96987694800029	6.35757368010975	5.64693106947745	2.79717101130815	2.55450042094455	2.46639820598142	2.32638519395584	2.80683746863623	2.86556476634466	5.04618415217777	5.0667491324552	4.48601081778645
ENSMUSG00000051375	3.10789176211015	3.9867630461932	3.15172788784092	5.11851029500584	5.9019495227823	4.93311195591696	4.48067376389272	5.13148901003986	4.52267456156099	2.38321804533867	2.63529202950018	3.16949991582226	6.19182797283859	6.77202073225385	5.86733267401163	3.13520413824621	3.70103056226449	2.4800004744115	4.88663779147436	4.59912383303694	4.7097793633797	5.40068967472754	5.12843411516773	5.05290780531813
ENSMUSG00000068874	3.30550718431516	3.47095089642415	3.49697001269302	1.03679468229608	1.16741911152103	1.18184818845298	1.30464275880857	2.02150016914854	1.71086798509936	4.4355133818438	4.29017712580983	4.53760742914538	1.41453074165403	1.08458819526252	1.15766523471533	3.59566946435296	3.39762992431921	3.58717956114165	3.19795068721641	3.75878458567334	2.95060399615307	0.725658543901581	-0.969472447456235	1.53280898419457
ENSMUSG00000018819	0.0392548178715062	0.50034106008317	1.01586259434855	3.013986797849	1.81897684900159	3.4540398113512	5.22126921603251	4.30476155224674	3.74650098620097	-0.929069638805625	0.00376521658376097	-0.479321285125843	5.81058175089074	6.08504704045536	5.50241836305342	1.08864588197185	1.27585034504438	0.106451216329964	1.43021752145339	0.720170923677136	1.75673560017981	2.67482884837578	3.48792631256725	3.34595446290265
ENSMUSG00000030782	3.99250235193602	3.73261665715575	3.6625460139225	5.6195936536052	5.9712309983777	6.02589162558397	5.52234652523522	5.41145585128965	6.02322698552015	2.86833777022852	1.89389056489379	2.39657120557471	5.53285162359942	5.99094238849977	5.33349036311657	2.70736609325685	2.3790480245173	2.87950875307799	3.33009499831049	3.83724672412029	4.13256165567738	4.72240271133841	5.89260225866071	4.87195038576305
ENSMUSG00000017724	2.39809997373982	2.45126085066728	1.79947755105101	3.49488749463546	3.57293929231182	3.88464663328081	4.1193126127696	4.08818006913666	4.6329119487897	1.64696876903791	1.61591596380079	0.616975243665832	5.32347169959895	5.41929921134285	4.85330907591906	1.05263032140113	1.82480527854798	1.68843537434394	1.83798363948891	0.855592558198935	1.27533074451927	3.85403300626265	3.80531979493718	3.50103273830282
ENSMUSG00000054203	-2.89739239114692	-2.89739239114692	-1.35234611957576	4.43238457048506	4.22408650877031	3.15392507782235	3.4029348882472	3.22703094109574	2.57891205774758	-2.89739239114692	-2.89739239114692	-2.89739239114692	2.64146168874553	3.59138620471809	2.45748059837056	-1.77833824161581	-2.89739239114692	-2.89739239114692	0.921944597969671	1.60997109551733	0.310924373721212	3.67437960703121	5.10582928520505	3.75264795041607
